symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
TSLA,2015-08-31 00:00:00+00:00,249.06,254.95,245.51,245.77,4700232,249.06,254.95,245.51,245.77,4700232,0.0,1.0
TSLA,2015-09-01 00:00:00+00:00,238.63,246.0,236.97,240.34,5454765,238.63,246.0,236.97,240.34,5454765,0.0,1.0
TSLA,2015-09-02 00:00:00+00:00,247.69,247.88,239.78,245.14,4629174,247.69,247.88,239.78,245.14,4629174,0.0,1.0
TSLA,2015-09-03 00:00:00+00:00,245.57,252.08,245.0,252.06,4194772,245.57,252.08,245.0,252.06,4194772,0.0,1.0
TSLA,2015-09-04 00:00:00+00:00,241.93,244.09,238.2,240.89,3689153,241.93,244.09,238.2,240.89,3689153,0.0,1.0
TSLA,2015-09-08 00:00:00+00:00,248.17,249.16,244.05,245.05,3138231,248.17,249.16,244.05,245.05,3138231,0.0,1.0
TSLA,2015-09-09 00:00:00+00:00,248.91,254.25,248.303,252.05,3390788,248.91,254.25,248.303,252.05,3390788,0.0,1.0
TSLA,2015-09-10 00:00:00+00:00,248.48,250.7231,245.33,247.23,2709024,248.48,250.7231,245.33,247.23,2709024,0.0,1.0
TSLA,2015-09-11 00:00:00+00:00,250.24,250.24,244.73,247.64,2350844,250.24,250.24,244.73,247.64,2350844,0.0,1.0
TSLA,2015-09-14 00:00:00+00:00,253.19,254.25,249.67,251.1,2890851,253.19,254.25,249.67,251.1,2890851,0.0,1.0
TSLA,2015-09-15 00:00:00+00:00,253.57,254.6,249.5,252.75,2933466,253.57,254.6,249.5,252.75,2933466,0.0,1.0
TSLA,2015-09-16 00:00:00+00:00,262.25,262.88,252.88,253.04,4417081,262.25,262.88,252.88,253.04,4417081,0.0,1.0
TSLA,2015-09-17 00:00:00+00:00,262.07,265.5,260.69,263.96,3585812,262.07,265.5,260.69,263.96,3585812,0.0,1.0
TSLA,2015-09-18 00:00:00+00:00,260.62,263.82,257.5,257.96,3763064,260.62,263.82,257.5,257.96,3763064,0.0,1.0
TSLA,2015-09-21 00:00:00+00:00,264.2,271.57,255.8,263.98,6120155,264.2,271.57,255.8,263.98,6120155,0.0,1.0
TSLA,2015-09-22 00:00:00+00:00,260.94,262.65,255.87,259.03,3664353,260.94,262.65,255.87,259.03,3664353,0.0,1.0
TSLA,2015-09-23 00:00:00+00:00,261.06,262.08,257.5838,261.95,2600778,261.06,262.08,257.5838,261.95,2600778,0.0,1.0
TSLA,2015-09-24 00:00:00+00:00,263.12,263.45,256.21,259.53,3448191,263.12,263.45,256.21,259.53,3448191,0.0,1.0
TSLA,2015-09-25 00:00:00+00:00,256.91,266.91,256.15,266.61,3773392,256.91,266.91,256.15,266.61,3773392,0.0,1.0
TSLA,2015-09-28 00:00:00+00:00,248.43,259.79,246.61,257.35,4881802,248.43,259.79,246.61,257.35,4881802,0.0,1.0
TSLA,2015-09-29 00:00:00+00:00,246.65,254.73,245.46,250.46,3703154,246.65,254.73,245.46,250.46,3703154,0.0,1.0
TSLA,2015-09-30 00:00:00+00:00,248.4,252.4,242.34,252.0,4879816,248.4,252.4,242.34,252.0,4879816,0.0,1.0
TSLA,2015-10-01 00:00:00+00:00,239.88,248.5,237.13,247.51,4572964,239.88,248.5,237.13,247.51,4572964,0.0,1.0
TSLA,2015-10-02 00:00:00+00:00,247.57,247.7,234.93,235.6,4423982,247.57,247.7,234.93,235.6,4423982,0.0,1.0
TSLA,2015-10-05 00:00:00+00:00,246.15,249.84,244.13,248.84,3689865,246.15,249.84,244.13,248.84,3689865,0.0,1.0
